,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Unnamed: 14
0,M Muralitharan (ICC/SL),1992-2010,133,230,44039,18180,800,9/51,16/220,22.72,2.47,55.0,67,22,
1,SK Warne (AUS),1992-2007,145,273,40705,17995,708,8/71,12/128,25.41,2.65,57.4,37,10,
2,JM Anderson (ENG),2003-2022,169,314,36396,17014,640,7/42,11/71,26.58,2.8,56.8,31,3,
3,A Kumble (INDIA),1990-2008,132,236,40850,18355,619,10/74,14/149,29.65,2.69,65.9,35,8,
4,GD McGrath (AUS),1993-2007,124,243,29248,12186,563,8/24,10/27,21.64,2.49,51.9,29,3,
5,SCJ Broad (ENG),2007-2022,152,280,30575,14932,537,8/15,11/121,27.8,2.93,56.9,19,3,
6,CA Walsh (WI),1984-2001,132,242,30019,12688,519,7/37,13/55,24.44,2.53,57.8,22,3,
7,DW Steyn (SA),2004-2019,93,171,18608,10077,439,7/51,11/60,22.95,3.24,42.3,26,5,
8,N Kapil Dev (INDIA),1978-1994,131,227,27740,12867,434,9/83,11/146,29.64,2.78,63.9,23,2,
9,HMRKB Herath (SL),1999-2018,93,170,25993,12157,433,9/127,14/184,28.07,2.8,60.0,34,9,
10,Sir RJ Hadlee (NZ),1973-1990,86,150,21918,9611,431,9/52,15/123,22.29,2.63,50.8,36,9,
11,R Ashwin (INDIA),2011-2022,84,158,22673,10485,430,7/59,13/140,24.38,2.77,52.7,30,7,
12,SM Pollock (SA),1995-2008,108,202,24353,9733,421,7/87,10/147,23.11,2.39,57.8,16,1,
13,Harbhajan Singh (INDIA),1998-2015,103,190,28580,13537,417,8/84,15/217,32.46,2.84,68.5,25,5,
14,NM Lyon (AUS),2011-2022,105,198,26669,13193,415,8/50,13/154,31.79,2.96,64.2,18,3,
15,Wasim Akram (PAK),1985-2002,104,181,22627,9779,414,7/119,11/110,23.62,2.59,54.6,25,5,
16,CEL Ambrose (WI),1988-2000,98,179,22103,8501,405,8/45,11/84,20.99,2.3,54.5,22,3,
17,M Ntini (SA),1998-2009,101,190,20834,11242,390,7/37,13/132,28.82,3.23,53.4,18,4,
18,IT Botham (ENG),1977-1992,102,168,21815,10878,383,8/34,13/106,28.4,2.99,56.9,27,4,
19,MD Marshall (WI),1978-1991,81,151,17584,7876,376,7/22,11/89,20.94,2.68,46.7,22,4,
20,Waqar Younis (PAK),1989-2003,87,154,16224,8788,373,7/76,13/135,23.56,3.25,43.4,22,5,
21,Imran Khan (PAK),1971-1992,88,142,19458,8258,362,8/58,14/116,22.81,2.54,53.7,23,6,
22,DL Vettori (ICC/NZ),1997-2014,113,187,28814,12441,362,7/87,12/149,34.36,2.59,79.5,20,3,
23,DK Lillee (AUS),1971-1984,70,132,18467,8493,355,7/83,11/123,23.92,2.75,52.0,23,7,
24,WPUJC Vaas (SL),1994-2009,111,194,23438,10501,355,7/71,14/191,29.58,2.68,66.0,12,2,
25,AA Donald (SA),1992-2002,72,129,15519,7344,330,8/71,12/139,22.25,2.83,47.0,20,3,
26,TG Southee (NZ),2008-2022,83,156,18826,9297,329,7/64,10/108,28.25,2.96,57.2,13,1,
27,RGD Willis (ENG),1971-1984,90,165,17357,8190,325,8/43,9/92,25.2,2.83,53.4,16,0,
28,MG Johnson (AUS),2007-2015,73,140,16001,8891,313,8/61,12/127,28.4,3.33,51.1,12,3,
29,Z Khan (INDIA),2000-2014,92,165,18785,10247,311,7/87,10/149,32.94,3.27,60.4,11,1,
30,I Sharma (INDIA),2007-2021,105,188,19160,10078,311,7/74,10/108,32.4,3.15,61.6,11,1,
31,B Lee (AUS),1999-2008,76,150,16531,9554,310,5/30,9/171,30.81,3.46,53.3,10,0,
32,LR Gibbs (WI),1958-1976,79,148,27115,8989,309,8/38,11/157,29.09,1.98,87.7,18,2,
33,M Morkel (SA),2006-2018,86,160,16498,8550,309,6/23,9/110,27.66,3.1,53.3,8,0,
34,FS Trueman (ENG),1952-1965,67,127,15178,6625,307,8/31,12/119,21.57,2.61,49.4,17,3,
35,TA Boult (NZ),2011-2022,75,143,16689,8254,301,6/30,10/80,27.42,2.96,55.4,9,1,
36,DL Underwood (ENG),1966-1982,86,151,21862,7674,297,8/51,13/71,25.83,2.1,73.6,17,6,
37,JH Kallis (ICC/SA),1995-2013,166,272,20232,9535,292,6/54,9/92,32.65,2.82,69.2,5,0,
38,CJ McDermott (AUS),1984-1996,71,124,16586,8332,291,8/97,11/157,28.63,3.01,56.9,14,2,
39,MA Starc (AUS),2011-2022,66,127,13488,7513,274,6/50,11/94,27.41,3.34,49.2,13,2,
40,BS Bedi (INDIA),1966-1979,67,118,21364,7637,266,7/98,10/194,28.71,2.14,80.3,14,1,
41,Danish Kaneria (PAK),2000-2010,61,112,17697,9082,261,7/77,12/94,34.79,3.07,67.8,15,2,
42,J Garner (WI),1977-1987,58,111,13169,5433,259,6/56,9/108,20.97,2.47,50.8,7,0,
43,JN Gillespie (AUS),1996-2006,71,137,14234,6770,259,7/37,9/80,26.13,2.85,54.9,8,0,
44,GP Swann (ENG),2008-2013,60,109,15349,7642,255,6/65,10/132,29.96,2.98,60.1,17,3,
45,JB Statham (ENG),1951-1965,70,129,16056,6261,252,7/39,11/97,24.84,2.33,63.7,9,1,
46,MA Holding (WI),1975-1987,60,113,12680,5898,249,8/92,14/149,23.68,2.79,50.9,13,2,
47,R Benaud (AUS),1952-1964,63,116,19108,6704,248,7/72,11/105,27.03,2.1,77.0,16,1,
48,MJ Hoggard (ENG),2000-2008,67,122,13909,7564,248,7/61,12/205,30.5,3.26,56.0,7,1,
49,GD McKenzie (AUS),1961-1971,60,113,17681,7328,246,8/71,10/91,29.78,2.48,71.8,16,3,
0,BS Chandrasekhar (INDIA),1964-1979,58,97,15963,7199,242,8/79,12/104,29.74,2.7,65.9,16,2,
1,Abdul Qadir (PAK),1977-1990,67,111,17126,7742,236,9/56,13/101,32.8,2.71,72.5,15,5,
2,AV Bedser (ENG),1946-1955,51,92,15918,5876,236,7/44,14/99,24.89,2.21,67.4,15,5,
3,J Srinath (INDIA),1991-2002,67,121,15104,7196,236,8/86,13/132,30.49,2.85,64.0,10,1,
4,GS Sobers (WI),1954-1974,93,159,21599,7999,235,6/73,8/80,34.03,2.22,91.9,6,0,
5,N Wagner (NZ),2012-2022,56,106,12423,6251,235,7/39,9/73,26.6,3.01,52.8,9,0,
6,Yasir Shah (PAK),2014-2021,46,85,13697,7306,235,8/41,14/184,31.08,3.2,58.2,16,3,
7,AR Caddick (ENG),1993-2003,62,105,13558,6999,234,7/46,10/215,29.91,3.09,57.9,13,1,
8,CS Martin (NZ),2000-2013,71,126,14026,7878,233,6/26,11/180,33.81,3.37,60.1,10,1,
9,K Rabada (SA),2015-2022,50,92,9500,5227,233,7/112,13/144,22.43,3.3,40.7,10,4,
10,RA Jadeja (INDIA),2012-2021,57,108,14333,5765,232,7/48,10/154,24.84,2.41,61.7,9,1,
11,KAJ Roach (WI),2009-2021,68,122,12302,6289,231,6/48,10/146,27.22,3.06,53.2,9,1,
12,D Gough (ENG),1994-2003,58,95,11821,6503,229,6/42,9/92,28.39,3.3,51.6,9,0,
13,RR Lindwall (AUS),1946-1960,61,113,13650,5251,228,7/38,9/70,23.03,2.3,59.8,12,0,
14,A Flintoff (ENG/ICC),1998-2009,79,137,14951,7410,226,5/58,8/156,32.78,2.97,66.1,3,0,
15,SJ Harmison (ENG/ICC),2002-2009,63,115,13375,7192,226,7/12,11/76,31.82,3.22,59.1,8,1,
16,VD Philander (SA),2011-2020,64,119,11391,5000,224,6/21,10/102,22.32,2.63,50.8,13,2,
17,PM Siddle (AUS),2008-2019,67,126,13907,6777,221,6/54,9/104,30.66,2.92,62.9,8,0,
18,CL Cairns (NZ),1989-2004,62,104,11698,6410,218,7/27,10/100,29.4,3.28,53.6,13,1,
19,CV Grimmett (AUS),1925-1936,37,67,14513,5231,216,7/40,14/199,24.21,2.16,67.1,21,7,
20,HH Streak (ZIM),1993-2005,65,102,13559,6079,216,6/73,9/72,28.14,2.69,62.7,7,0,
21,JR Hazlewood (AUS),2014-2021,56,105,12049,5512,215,6/67,9/115,25.63,2.74,56.0,9,0,
22,Shakib Al Hasan (BAN),2007-2021,59,99,13529,6731,215,7/36,10/124,31.3,2.98,62.9,18,2,
23,MG Hughes (AUS),1985-1994,53,97,12285,6017,212,8/87,13/217,28.38,2.93,57.9,7,1,
24,Mohammed Shami (INDIA),2013-2022,57,108,10413,5670,209,6/56,9/118,27.12,3.26,49.8,6,0,
25,SCG MacGill (AUS),1998-2008,44,85,11237,6038,208,8/108,12/107,29.02,3.22,54.0,12,2,
